x,y,name
455.3,444.3,poutre
458.9,459.2,aspicr
459.3,462.1,hyeral
446.4,466.7,phoeci
444.7,464.6,alsebl
448.6,473.6,cordla
445.2,479.3,alsebl
457.2,491.9,termam
449.2,495.5,tropra
435.8,490.7,luehse
433.8,482.1,guapst
432.6,477.5,gustsu
430.1,472.9,quaras
432.2,471.4,hirttr
422.3,452.4,tropra
433.5,428.8,aspicr
421.2,419.5,alsebl
428.7,418.3,tri2tu
437.4,413.7,cordbi
432.9,408.2,tri2tu
430.5,405.7,cecrin
434.0,387.8,cecrin
434.5,385.1,turpoc
426.5,376.5,pse1se
428.0,375.1,guapst
424.0,364.2,eugeco
424.4,351.9,tab2ar
439.4,355.5,guapst
420.6,321.9,tri2tu
426.9,308.5,myrofr
424.1,309.1,tet2pa
425.1,305.4,alsebl
428.6,297.4,pse1se
427.1,295.7,heisco
431.8,266.3,anacex
429.7,261.2,andiin
429.4,256.0,brosal
424.0,251.7,tri2tu
422.6,239.7,termam
426.4,236.4,huracr
422.2,210.6,luehse
432.2,212.3,ingago
430.2,190.1,chr2ca
421.2,193.5,poutre
429.9,181.2,quaras
438.6,179.7,ast2gr
432.8,171.8,brosal
426.1,167.3,tab2ar
420.6,167.8,jac1co
435.3,153.8,tri2tu
432.7,143.6,simaam
430.7,142.2,tri2tu
420.9,146.9,gustsu
426.0,138.0,tri2tu
424.5,133.8,tri2tu
436.3,134.6,tri2tu
437.5,131.3,pri2co
437.2,114.3,hyeral
435.3,112.5,drypst
431.2,110.4,ast2gr
428.9,105.1,heisco
421.6,100.6,alsebl
418.6,88.6,guapst
426.9,66.8,aspicr
440.1,60.7,alsebl
428.0,59.4,ast2gr
434.1,57.1,alchco
436.7,49.3,alsebl
433.9,52.0,alsebl
433.9,41.7,tri2tu
429.1,41.9,tab2ar
432.6,36.8,alsebl
436.5,23.7,alsebl
422.1,25.7,drypst
420.7,15.6,poutre
435.5,4.4,quaras
427.4,0.1,anacex
424.3,0.1,guapst
417.1,6.5,sch1zo
410.7,5.7,virose
411.3,17.5,luehse
406.8,26.1,virosu
