x,y,boh,name
1.1,44.7,14,eugega
1.1,55.3,19,hybapr
1.1,76.6,-1,nectci
1.1,130.5,38,calolo
1.1,139.8,106,hirttr
1.1,348.3,37,swars2
1.1,380.9,49,faraoc
1.1,418.8,11,faraoc
1.1,426.4,-1,cou2cu
1.1,428.4,49,mourmy
1.1,434.7,-1,oenoma
1.1,481.1,18,protte
1.1,484.2,126,tab1ro
1.11,246.1,23,ingath
1.12,56.28,62,zantbe
1.13,195.96,13,hybapr
1.13,227,10,poutre
1.15,366.06,11,tet2pa
1.2,44.1,12,des2pa
1.2,92.8,24,hybapr
1.2,184,429,tab2ar
1.2,229.4,51,hirttr
1.2,240.2,20,tab1gu
1.2,242.1,-1,tet2pa
1.2,264.3,103,gar2in
1.2,289.6,33,cassel
1.2,319.8,78,perexa
1.2,352.1,23,mourmy
1.2,386.4,21,brosal
1.2,459.7,18,hybapr
1.26,55.45,18,simaam
1.26,126.05,15,laetth
1.27,316.38,10,mourmy
1.28,61.97,17,pipere
1.29,66.5,13,tet2pa
1.29,71.9,13,protpa
1.3,28.2,118,acaldi
1.3,29.8,43,acaldi
1.3,42.1,45,faraoc
1.3,70.4,118,hirttr
1.3,70.7,36,alsebl
1.3,87.7,19,tri2tu
1.3,91.1,123,apeime
1.3,93.9,18,tri2tu
1.3,94.4,26,hybapr
1.3,204.5,30,loncla
1.3,298.5,108,pri2co
1.3,314.1,45,alibed
1.3,352.3,247,ingama
1.3,401.9,17,picrla
1.3,459.3,99,alsebl
1.3,483.6,25,mourmy
1.36,202.9,13,nectci
1.4,70.6,-1,hybapr
1.4,92.3,26,hybapr
1.4,98.3,36,hybapr
1.4,125.3,26,tri2tu
1.4,161,44,hybapr
1.4,174.1,17,sloate
1.4,185.1,52,coccma
1.4,185.3,65,guargr
1.4,195.1,-1,ouralu
1.4,210.2,117,ingasa
1.4,249.1,-1,hybapr
1.4,305.7,53,faraoc
1.4,306.4,59,faraoc
1.4,363.8,17,protte
1.4,421.3,132,protte
1.4,450.2,22,hirttr
1.4,499.7,70,protpa
1.4,499.9,22,swars2
1.44,130.53,20,calolo
1.48,57.42,48,protpa
1.5,38.7,50,virose
1.5,39.66,12,eugega
1.5,68.1,162,gustsu
1.5,86.2,30,hybapr
1.5,117.9,783,virosu
1.5,133.7,20,hirttr
1.5,135.3,34,faraoc
1.5,145.2,47,maquco
1.5,191.3,25,alsebl
1.5,225.9,80,unonpi
1.5,289.7,26,hybapr
1.5,303.5,104,tab2ar
1.5,318.2,147,virose
1.5,336.6,63,faraoc
1.5,411.9,20,mourmy
1.5,416.8,55,oenoma
1.5,447,28,cassel
1.51,75.42,13,tet2pa
1.51,345.52,18,tachve
1.55,439.74,14,swars1
1.59,443.42,11,alsebl
1.6,28.5,-1,guarsp
1.6,34.5,25,hybapr
1.6,72.4,34,faraoc
1.6,76.9,100,randar
1.6,176.9,25,hybapr
1.6,189.9,33,mourmy
1.6,206.4,32,soroaf
1.6,318.45,15,tachve
1.6,335.2,-1,gar2in
1.6,405.8,14,faraoc
1.62,444.26,13,anaxpa
1.66,70.18,10,eugeoe
1.7,35.4,140,alsebl
1.7,48.3,23,swars1
1.7,75.9,30,faraoc
1.7,148.1,14,tachve
1.7,148.9,20,faraoc
1.7,241,124,cassel
1.7,250.2,35,eugeoe
1.7,300.1,27,hybapr
1.7,337.6,77,ingas1
1.7,352.6,19,eugeoe
1.7,356.3,194,cordbi
1.7,462.5,37,hybapr
1.7,464.1,31,alsebl
1.71,195.1,21,micone
1.73,299.7,11,tet2pa
1.74,310.27,12,des2pa
1.76,233.54,81,oenoma
1.79,150.36,20,guatdu
1.8,79.6,100,drypst
1.8,129,-1,gar2in
1.8,148.8,35,guargu
1.8,167.5,60,hybapr
1.8,174.4,39,hybapr
1.8,178.4,88,poular
1.8,193.6,12,nectci
1.8,197.6,18,faraoc
1.8,239.4,36,hybapr
1.8,241.7,-1,alsebl
1.8,243.7,28,hybapr
1.8,252,15,mourmy
1.8,265.4,43,swars2
1.8,325.3,28,soroaf
1.8,375.17,12,stylst
1.8,382,46,picrla
1.8,442.1,38,loncla
1.82,18.27,20,pourbi
1.83,130.07,24,calolo
1.85,162.56,12,mourmy
1.87,440.5,17,rinosy
1.9,12.2,29,acaldi
1.9,87.1,91,tab2ar
1.9,95.3,18,hybapr
1.9,114.3,280,alsebl
1.9,194.49,12,pterro
1.9,203.1,-1,gar2in
1.9,205.7,46,hybapr
1.9,220.7,11,pterro
1.9,351.4,102,hyeral
1.9,396.5,23,protco
1.9,454.9,34,hirttr
1.9,472.9,48,soroaf
1.9,473.4,22,alsebl
1.9,485.2,-1,rinosy
1.92,264.07,14,ingath
2,21.1,21,protte
2,93.9,188,jac1co
2,124.8,27,hybapr
2,134.1,28,hybapr
2,175.2,12,calolo
2,183.6,53,faraoc
2,190.3,71,heisco
2,201.4,18,ery2ma
2,265.8,16,des2pa
2,275.3,336,tet2pa
2,282.3,30,hybapr
2,299.2,55,faraoc
2,351.2,25,faraoc
2,366.2,78,faraoc
2,367.2,111,cordla
2,410.2,38,hybapr
2,469.2,33,chr1ec
2,475.7,49,protpa
2,478.7,62,faraoc
2.01,337.8,12,mourmy
2.05,48.83,11,tet2pa
2.06,151.97,21,faraoc
2.07,241.58,14,micone
2.1,13.9,29,acaldi
2.1,30.3,48,cou2cu
2.1,47,29,des2pa
2.1,99,324,ocotwh
2.1,119.03,19,protpa
2.1,195.12,13,ingath
2.1,246.3,17,sloate
2.1,265.4,60,poutre
2.1,497.1,35,protpa
2.17,67.15,19,ingath
2.17,275.85,12,alsebl
2.19,272.21,12,randar
2.2,44.8,242,pri2co
