name,count
faraoc,618669
hybapr,355111
tri2tu,241942
alsebl,198843
des2pa,141631
pri2co,136434
hirttr,117599
tet2pa,111228
oenoma,106038
quaras,101469
tab2ar,99596
mourmy,82540
virose,76086
jac1co,75338
cordbi,67710
cecrin,64434
beilpe,63839
simaam,61402
poular,60393
protpa,59849
swars2,56637
gar2in,56524
protte,51133
cou2cu,50699
poutre,49833
tachve,46594
swars1,45947
soroaf,44384
socrex,43248
brosal,42998
eugeoe,41780
guatdu,40107
apeime,39686
heisco,37716
guargu,35565
maquco,34427
zantbe,32890
cordla,32036
randar,31303
pterro,30534
cassel,30121
loncla,27913
hassfl,27392
gustsu,27317
cappfr,27229
calolo,26333
rinosy,26121
psycho,24716
unonpi,23909
cupasy,23204
laciag,22121
ceibpe,21883
drypst,21703
virosu,21627
luehse,20890
alchco,20655
eugega,19713
protco,18838
anaxpa,18253
chr2ar,18195
ingaum,17724
guapst,17488
ocotwh,16621
tri2pa,16028
xyl1ma,16007
dendar,15308
ingama,15250
casear,14199
ingaqu,13850
eugeco,13788
cecrob,13786
sponra,13577
ouralu,13023
pla2el,13004
sloate,12663
pla1pi,12658
guarsp,12501
anacex,12261
ingath,12080
micoar,12005
laetth,11899
cha2sc,11858
sponmo,11851
diptpa,11632
ast1st,11532
crotbi,11323
paligu,11310
cordal,11256
huracr,11253
micoaf,11229
perexa,11190
zantp1,11114
hyeral,10739
eugene,10668
picrla,10667
tripcu,10474
malmsp,10383
ingasa,9926
tab1ro,9831
aspicr,9277
ingago,9173
guetfo,9115
nectci,8967
herrpu,8966
termam,8950
tratas,8751
ast2gr,8747
tab1gu,8594
gar2ma,8268
coccma,8167
elaeol,7887
ingas1,7872
stylst,7640
sch1zo,7480
acaldi,7338
annoac,7213
chr1ec,7002
lacmpa,6792
pourbi,6711
lindla,6551
ocotob,6497
caseac,6319
ocotce,6218
psycma,6131
casesy,5932
alibed,5860
chr2ca,5807
zantpr,5752
sterap,5725
andiin,5704
ocotpu,5649
guazul,5353
ficuob,5329
poutst,5039
turpoc,4986
celtsc,4814
talipr,4598
sipapa,4529
tropra,4447
laetpr,4318
allops,4161
pentma,4080
taline,4004
ade1tr,3881
sympgl,3751
coccco,3733
ery1co,3709
micone,3469
pipere,3338
dio2ar,3325
bactma,3201
vochfe,3119
annosp,3118
licahy,3101
guargr,3086
ery2ma,3047
micoho,2930
ficuyo,2929
pse1se,2911
phoeci,2879
ochrpy,2876
termob,2794
ingafa,2752
maytsc,2650
hampap,2634
geniam,2606
ingasp,2524
posola,2523
nectpu,2514
sapiau,2513
sipacr,2447
heisac,2390
thevah,2386
aegipa,2358
olmeas,2334
apeiti,2316
ficuc2,2222
ormoma,2207
cuparu,2203
acalma,2056
tet4jo,1934
virosp,1929
ficupo,1796
licapl,1779
pit1ma,1776
nectgl,1750
solaha,1688
cupala,1604
xyl2ol,1590
ficuto,1511
tocopi,1423
spacme,1391
ery2pa,1342
sennda,1306
lafopu,1197
ingapu,1154
caseco,1141
myrofr,1069
poutfo,1039
zuelgu,1015
vismba,1014
ingaco,977
cavapl,901
quasam,898
pipecu,887
psycg1,851
psycg3,840
tremin,827
hameax,799
entesc,742
myrcga,737
neeaam,726
conoci,696
ardife,682
ormocr,674
theoca,592
psidfr,534
ingaru,533
schipa,531
ficuma,511
tremsp,498
micoel,484
cedrod,484
cestme,474
colugl,467
tri4ga,456
pipeco,448
tri1gi,427
pochqu,417
mar1la,400
cecrlo,387
ficuin,386
tremmi,376
ardigu,372
macrgl,347
malpro,334
maclti,326
pipea1,293
ingami,290
cupaci,280
solaas,276
casegu,252
hirtam,246
pipeae,233
alchla,225
margno,223
aphesi,175
chimpa,170
cyphha,166
couthe,164
acacme,162
micoim,157
psycch,153
psycde,123
psycli,105
clidde,102
bactba,91
amaico,84
psycac,74
ficubu,64
ficutr,63
ficuci,59
vismbi,57
clidoc,56
brosgu,52
pipepe,48
solast,43
cha1te,42
pipeca,41
hamepa,40
lozapi,39
urerba,37
psycg2,27
ingape,27
clidse,25
micodo,20
micopr,19
psycps,16
boropa,12
psycra,12
psycb1,11
bactc2,-1
solaar,-1
ormoam,-1
ingam1,-1
bactc1,-4
