name,count
faraoc,607517
hybapr,411000
tri2tu,303742
alsebl,194016
des2pa,144118
pri2co,128357
hirttr,115297
oenoma,109830
tet2pa,105842
quaras,103857
tab2ar,90639
virose,87930
mourmy,84810
poular,80679
beilpe,73878
cordbi,70979
jac1co,70554
simaam,64946
protpa,62458
tachve,54836
socrex,54236
swars2,53692
guatdu,52289
soroaf,52108
cou2cu,51587
poutre,50316
protte,50307
gar2in,48670
cecrin,48232
eugeoe,47497
brosal,44849
swars1,43195
apeime,41909
cordla,41644
heisco,35770
guargu,35595
maquco,35316
hassfl,34100
randar,33371
psycho,33001
loncla,32312
pterro,32101
zantbe,31130
gustsu,30902
cappfr,30256
laciag,26739
rinosy,26558
cassel,26543
unonpi,25313
virosu,24584
crotbi,22868
ceibpe,21965
calolo,21849
cupasy,21840
protco,21145
drypst,20704
luehse,20695
ingaum,20401
dendar,20312
alchco,20200
paligu,19801
micoar,19425
chr2ar,19180
casear,19142
ocotwh,18301
guapst,17736
guarsp,17279
eugega,16889
tri2pa,16786
ingama,16496
pla1pi,15570
eugeco,15402
pla2el,15244
anaxpa,15074
laetth,14737
ast1st,14611
sponra,14111
ingaqu,13770
anacex,13639
huracr,13526
sloate,13197
zantp1,12463
ouralu,12404
micoaf,12229
xyl1ma,12068
sponmo,11826
eugene,11593
hyeral,11501
ingago,11306
nectci,11206
tripcu,11039
ingasa,11006
picrla,10991
guetfo,10891
diptpa,10745
perexa,10683
tab1ro,10249
cordal,9901
stylst,9337
termam,9322
coccma,9207
tratas,8984
malmsp,8978
cha2sc,8757
lindla,8682
herrpu,8515
ast2gr,8251
tab1gu,7997
gar2ma,7815
annoac,7793
aspicr,7765
sch1zo,7497
ocotce,7454
zantpr,7432
elaeol,7194
ingath,7118
casesy,6857
chr1ec,6742
psycma,6733
caseac,6566
bactma,6491
lacmpa,6250
ingas1,6155
tropra,6126
ocotpu,6117
alibed,5957
acaldi,5913
chr2ca,5808
ery1co,5768
turpoc,5722
andiin,5665
sympgl,5521
ade1tr,5470
annosp,5356
sterap,5283
guazul,5270
celtsc,5238
poutst,5050
talipr,5005
phoeci,4830
pentma,4781
ocotob,4765
sipapa,4727
coccco,4610
cecrob,4533
allops,4510
pourbi,4196
ficuob,4175
ery2ma,4116
licahy,3985
taline,3933
aegipa,3910
laetpr,3718
pipere,3681
micone,3301
ingaco,3223
olmeas,3210
ingaun,3148
sipacr,3088
pipeco,2996
sapiau,2968
maytsc,2967
cuparu,2861
guargr,2846
vochfe,2831
ingafa,2830
ficuyo,2749
geniam,2742
dio2ar,2726
pse1se,2689
thevah,2685
posola,2589
termob,2570
tremsp,2557
xyl2ol,2500
apeiti,2497
ficuto,2388
virosp,2378
heisac,2298
vismba,2225
micoho,2223
nectpu,2205
ingasp,2180
hampap,2147
ochrpy,2096
ormoma,2041
nectgl,2010
solaha,1954
tet4jo,1901
lafopu,1826
licapl,1820
ficupo,1774
ery2pa,1585
quasam,1558
ficuc2,1480
acalma,1470
zuelgu,1461
spacme,1438
ingapu,1364
hameax,1316
pit1ma,1314
ficuin,1297
tocopi,1290
cupala,1286
myrofr,1222
myrcga,1173
sennda,1102
caseco,1097
pipecu,1048
cestme,1042
poutfo,1038
cavapl,1020
psycg3,1014
conoci,1003
theoca,945
psycg1,877
hirtam,806
micoel,767
tri1gi,718
entesc,678
ardife,674
neeaam,630
ingaru,620
ormocr,613
colugl,528
malpro,522
psidfr,490
pipea1,447
pipeae,440
cupaci,429
cespma,429
ardigu,385
psycde,381
ingami,367
koanwe,366
pochqu,358
casegu,355
tri4ga,317
cedrod,300
schipa,295
ficuma,289
mar1la,287
solaas,282
banagu,280
macrgl,278
maclti,210
micoim,188
alchla,185
psycli,174
margno,171
bactc1,169
psycac,166
cecrlo,163
aphesi,150
lozapi,145
ficuc1,132
bactba,118
chimpa,113
acacme,106
cha1te,95
psycch,89
couthe,88
pipepe,84
ingam1,72
amaico,70
ficuci,59
clidde,58
brosgu,47
vismbi,47
hamepa,36
pterof,27
vismma,24
clidoc,22
psycg2,19
ficupe,19
micopr,17
ormoam,15
ficubu,14
solast,13
cyphha,13
boropa,12
psycps,11
solaar,-1
conobr,-1
bactc2,-7
