name,count
faraoc,504607
hybapr,432117
tri2tu,353009
alsebl,171956
des2pa,143533
pri2co,121254
poular,102705
oenoma,100835
quaras,100384
hirttr,94481
tet2pa,93350
virose,86411
tab2ar,85747
mourmy,76580
beilpe,74513
jac1co,63459
socrex,62254
simaam,60530
guatdu,57154
cordbi,53796
protpa,51570
soroaf,50838
swars2,49388
cordla,46998
tachve,46595
protte,46483
brosal,43699
poutre,43303
cou2cu,41936
apeime,41558
cecrin,41026
hassfl,39219
gar2in,38188
eugeoe,38038
swars1,37308
psycho,33364
maquco,32735
heisco,32590
guargu,32001
randar,31889
loncla,31667
gustsu,31552
pipeco,29160
pterro,28958
cappfr,27336
virosu,25639
dendar,25482
laciag,24516
rinosy,24485
casear,24027
ceibpe,23727
zantbe,23641
unonpi,21650
cassel,20845
protco,20283
guarsp,20210
alchco,20069
calolo,19251
ocotwh,19004
pla2el,18871
ingaum,18759
luehse,17876
ast1st,17763
cupasy,17400
drypst,17255
guapst,16491
chr2ar,16252
pla1pi,15322
eugeco,15028
tri2pa,14991
crotbi,14657
ingama,14259
sloate,13220
huracr,13128
gar2ma,12607
micoar,12544
laetth,12487
tratas,12468
lindla,12126
anacex,11913
eugega,11869
ingago,11807
bactma,11782
hyeral,11747
zantp1,11668
sponra,11667
ouralu,11590
acaldi,11058
ingaqu,10817
nectci,10803
tab1ro,10796
tripcu,10753
ingasa,10727
guetfo,10510
eugene,10287
picrla,10080
micoaf,10044
diptpa,10012
anaxpa,9611
cordal,9177
stylst,9106
paligu,9008
elaeol,8912
sch1zo,8856
perexa,8853
coccma,8837
ery1co,8619
sponmo,8351
xyl1ma,8272
tab1gu,8154
casesy,7536
termam,7322
ocotce,7279
malmsp,7081
turpoc,7069
herrpu,7039
annoac,6804
ast2gr,6763
zantpr,6493
celtsc,6453
caseac,6430
chr1ec,6413
aspicr,6400
sympgl,6233
psycma,6167
ocotpu,6039
ade1tr,5905
sipapa,5784
cha2sc,5738
ingaco,5642
phoeci,5611
tropra,5580
andiin,5266
pentma,5225
poutst,5006
olmeas,4984
coccco,4978
talipr,4976
ficuto,4756
hampap,4733
alibed,4716
lacmpa,4675
allops,4575
chr2ca,4490
solaha,4422
sterap,4285
tremsp,4213
aegipa,4181
ocotob,4076
ery2ma,4039
guazul,4022
licahy,3877
taline,3825
apeiti,3764
pipere,3747
micone,3538
ingas1,3494
sipacr,3455
cecrob,3433
laetpr,3351
pourbi,3344
sapiau,3270
ingath,3244
maytsc,3199
thevah,2655
pse1se,2645
vochfe,2617
xyl2ol,2587
geniam,2570
ficuyo,2413
heisac,2376
ficupo,2362
vismba,2320
annosp,2274
acalma,2269
posola,2264
termob,2240
tet4jo,2157
ormoma,2153
licapl,2147
guargr,2090
ingaun,1982
cestme,1952
cuparu,1927
dio2ar,1894
virosp,1882
pipecu,1818
ingasp,1782
ficuc2,1774
tocopi,1764
spacme,1731
ingafa,1712
conoci,1607
sennda,1578
nectgl,1563
nectpu,1504
lafopu,1426
micoho,1424
quasam,1422
ery2pa,1390
zuelgu,1374
ficuob,1340
pipeae,1298
myrofr,1263
tri4ga,1231
pipea1,1207
ochrpy,1197
micoel,1189
ingaru,1170
bactc1,1165
ficuma,1147
cupala,1089
bactba,1021
caseco,1009
theoca,959
poutfo,941
ficuin,935
myrcga,929
pit1ma,920
macrgl,883
cavapl,874
psycg3,830
ingapu,782
psycde,763
hirtam,755
tri1gi,676
lozapi,641
neeaam,567
hameax,562
ardife,547
ingami,541
koanwe,526
ormocr,512
colugl,451
cupaci,450
entesc,442
malpro,426
mar1la,405
psidfr,399
pterof,376
bactc2,355
cespma,354
cha1te,345
alchla,339
casegu,312
pipepe,263
ardigu,257
cedrod,220
psycg1,190
aphesi,180
clidde,139
ficuc1,133
maclti,130
psycac,129
micoim,125
psycch,120
chimpa,100
psycli,95
schipa,90
uniden,80
ingam1,73
vismbi,70
couthe,69
acacme,60
cyphha,55
solast,50
cnempe,50
amaico,45
margno,45
pipeim,40
geonin,40
brosgu,30
hamepa,25
pipeca,24
psycg2,20
psycra,20
xyl2ch,20
clidse,20
boropa,15
nects3,15
lopida,15
solaar,15
clidoc,10
ormoam,10
