name,count
faraoc,467977
hybapr,425706
tri2tu,379450
alsebl,169003
des2pa,144073
poular,124139
quaras,119275
pri2co,114997
oenoma,103493
virose,91468
tet2pa,91236
hirttr,87275
tab2ar,85436
beilpe,80402
mourmy,69275
socrex,66172
guatdu,63495
jac1co,58655
simaam,58435
cordbi,53043
brosal,52334
protpa,50819
soroaf,50795
apeime,47811
tachve,47806
swars2,47136
cordla,47091
cecrin,46051
protte,45958
poutre,44300
hassfl,40576
cou2cu,38677
swars1,35433
virosu,34939
gar2in,34680
eugeoe,34241
maquco,33701
guargu,33417
loncla,33108
gustsu,31982
pterro,31153
randar,31132
heisco,30649
psycho,30591
casear,27235
dendar,26904
cappfr,25582
pipeco,24272
laciag,23855
rinosy,22857
ceibpe,22742
protco,21924
guarsp,21750
luehse,21706
zantbe,21657
alchco,20843
ocotwh,20627
unonpi,20618
pla2el,19807
cassel,18786
calolo,18256
ingaum,17866
crotbi,17827
ast1st,17476
ingama,16693
guapst,16371
cupasy,16109
pla1pi,15971
eugeco,15918
drypst,15906
chr2ar,15097
sloate,15080
bactma,14989
tri2pa,14827
acaldi,14499
huracr,14197
hyeral,13498
lindla,13012
anacex,13008
tratas,12974
ingago,12471
zantp1,12358
laetth,12242
sponra,12163
tab1ro,12023
diptpa,11903
gar2ma,11711
ouralu,10971
ingasa,10835
eugega,10744
nectci,10686
tripcu,10612
guetfo,10349
eugene,10317
micoar,10307
ery1co,10172
ingaqu,10008
picrla,9896
termam,9653
micoaf,9582
sch1zo,9519
anaxpa,9229
cordal,9208
sponmo,9148
turpoc,9114
coccma,8867
elaeol,8729
stylst,8640
perexa,8464
casesy,8320
ast2gr,7908
tab1gu,7877
sympgl,7410
xyl1ma,7143
ocotce,6839
solaha,6808
herrpu,6764
annoac,6535
celtsc,6530
malmsp,6427
chr1ec,6395
caseac,6292
ingaco,6288
zantpr,6190
sipapa,6183
ade1tr,6126
hampap,6002
ocotpu,5949
aspicr,5911
cecrob,5908
phoeci,5785
tropra,5766
olmeas,5704
pentma,5634
paligu,5552
chr2ca,5450
andiin,5177
psycma,4975
poutst,4934
ficuto,4885
coccco,4881
sterap,4860
guazul,4790
cha2sc,4775
talipr,4762
tremsp,4699
apeiti,4652
micone,4518
allops,4498
lacmpa,4448
aegipa,4403
pse1se,4366
sapiau,4215
alibed,4171
ery2ma,4082
ocotob,3978
pipere,3867
licahy,3716
ficuc2,3696
sipacr,3695
pipecu,3450
maytsc,3438
taline,3406
bactc1,3256
laetpr,3180
acalma,2971
ingas1,2957
pourbi,2895
cestme,2798
thevah,2769
ficuyo,2665
ficuob,2597
ingath,2491
virosp,2458
geniam,2452
xyl2ol,2431
tet4jo,2418
licapl,2403
vochfe,2314
sennda,2308
ficupo,2301
termob,2279
vismba,2276
annosp,2222
heisac,2185
posola,2177
micoho,2133
pipeae,2100
conoci,2070
lafopu,2057
ormoma,2051
guargr,1938
nectgl,1933
bactba,1920
nectpu,1919
dio2ar,1800
ingasp,1772
spacme,1762
ingaru,1709
tocopi,1664
cuparu,1593
ingafa,1524
ficutr,1509
ficuma,1458
ingaun,1453
pipea1,1375
tri4ga,1335
quasam,1276
zuelgu,1275
ery2pa,1250
myrofr,1237
poutfo,1142
theoca,1130
micoel,1122
hirtam,1088
cupala,1027
macrgl,922
caseco,916
psycde,895
ficuin,847
hameax,840
myrcga,822
psycg3,811
cavapl,797
pit1ma,755
lozapi,753
tri1gi,746
bactc2,735
koanwe,582
cespma,548
ingami,533
ardife,519
cha1te,515
ingapu,486
entesc,486
ormocr,471
colugl,465
neeaam,465
pterof,434
ochrpy,431
cupaci,415
mar1la,393
malpro,390
psidfr,363
ardigu,345
alchla,327
pochqu,312
casegu,305
pipepe,275
aphesi,255
cedrod,202
pipeim,165
cnempe,135
ficuc1,121
vismma,120
cyphha,120
psycg1,115
micoim,95
psycac,90
maclti,90
chimpa,87
psycch,85
clidde,75
psycli,75
ingam1,67
couthe,65
schipa,60
psycg2,55
solast,50
psycfu,50
vismbi,45
amaico,40
pipeca,35
acacme,35
margno,25
urerba,20
geonin,20
brosgu,15
boropa,15
psycra,15
lopida,15
nects3,10
clidse,10
solaar,10
xyl2ch,10
