name,count
faraoc,608247
hybapr,330906
alsebl,210273
tri2tu,199135
des2pa,142735
pri2co,139182
hirttr,119178
tet2pa,116864
oenoma,109055
tab2ar,107763
quaras,104189
mourmy,90593
cecrin,76966
cordbi,72305
jac1co,70826
protpa,68040
gar2in,65700
simaam,63493
virose,63445
swars2,57880
beilpe,54309
poutre,51023
protte,50436
swars1,49751
cou2cu,46263
poular,46240
tachve,40746
heisco,40645
brosal,40146
soroaf,39747
apeime,37455
guargu,37347
eugeoe,36846
maquco,35501
socrex,35242
guatdu,35060
cassel,34152
calolo,33596
zantbe,32082
cordla,30674
randar,29902
pterro,29177
loncla,26499
eugega,25820
rinosy,25597
cupasy,25564
gustsu,25458
xyl1ma,24160
laciag,23696
drypst,23551
cappfr,23052
unonpi,22609
ceibpe,22503
alchco,22261
hassfl,21491
protco,21354
paligu,20663
crotbi,20610
anaxpa,20563
chr2ar,19724
luehse,19563
ingama,19287
cecrob,18618
ingaum,18418
virosu,18408
guapst,17377
tri2pa,17223
cha2sc,16368
ocotwh,16190
ingath,15913
sponmo,15647
acaldi,15614
psycho,15259
micoaf,14165
ingaqu,13696
ingas1,13087
pla2el,13072
zantp1,12944
anacex,12935
sponra,12734
ouralu,12734
perexa,12542
eugeco,12473
dendar,12460
micoar,12408
sloate,12401
cordal,12245
laetth,12194
huracr,11763
eugene,11569
malmsp,11442
pla1pi,11287
hyeral,11087
diptpa,11055
aspicr,10773
picrla,10058
elaeol,10053
pourbi,9869
gar2ma,9718
ingago,9675
ingasa,9597
tripcu,9483
guarsp,9455
ocotob,9290
tratas,9143
ast1st,9102
psycma,9075
casear,8913
ast2gr,8865
herrpu,8830
tab1gu,8683
termam,8650
guetfo,8644
nectci,8422
tab1ro,8283
sch1zo,8199
ocotce,8133
chr1ec,7795
stylst,7645
lacmpa,7636
coccma,7285
annoac,6956
sterap,6807
alibed,6778
caseac,6643
guazul,6258
celtsc,5992
ocotpu,5917
chr2ca,5889
micone,5809
sipapa,5691
solaha,5616
andiin,5611
tremin,5144
lindla,4921
talipr,4862
casesy,4612
ficuob,4555
laetpr,4462
zantpr,4429
tropra,4137
pentma,4090
turpoc,4041
micoho,3997
sennda,3976
poutst,3968
taline,3936
dio2ar,3901
ade1tr,3727
allops,3649
sympgl,3637
guargr,3621
hampap,3591
bactma,3494
pse1se,3412
pipere,3402
cuparu,3327
licahy,3211
ery2ma,3206
termob,3154
pit1ma,3131
coccco,3059
maytsc,3019
apeiti,2955
ery1co,2873
phoeci,2758
posola,2611
nectpu,2421
acalma,2405
ingafa,2395
vochfe,2281
ficuyo,2272
ormoma,2224
nectgl,2210
heisac,2196
ochrpy,2151
sipacr,2099
ingasp,1978
ficupo,1927
geniam,1927
thevah,1840
ingapu,1802
sapiau,1788
cupala,1734
virosp,1712
annosp,1698
licapl,1663
olmeas,1598
tocopi,1582
ery2pa,1501
aegipa,1340
vismba,1275
ingaco,1211
poutfo,1136
caseco,1117
spacme,1099
hameax,1066
lafopu,1052
ficuto,1019
psycg1,1017
quasam,958
cavapl,953
myrcga,937
psycg3,792
schipa,791
tremmi,790
ormocr,786
zuelgu,760
cestme,757
bactc1,749
ardife,744
conoci,712
xyl2ol,683
psycde,669
ingaru,655
cedrod,619
ficuma,609
pipeco,604
psidfr,599
myrofr,571
cupaci,570
neeaam,551
pipecu,546
entesc,525
macrgl,497
pipea1,468
clidde,453
cyphha,440
pochqu,425
theoca,404
maclti,389
margno,349
ardigu,347
malpro,323
mar1la,312
cestra,292
casegu,281
solaas,279
hirtam,267
cecrlo,264
acacme,262
ficuin,262
psycac,255
psycch,253
couthe,251
micoel,249
pipeae,233
micopr,225
tri4ga,206
ingami,204
colugl,193
chimpa,185
aphesi,184
ficutr,135
psycli,125
micoim,121
tri1gi,119
urerba,115
psycra,100
ingape,97
pipepe,92
bactba,88
amaico,87
solast,76
micodo,63
ficuci,60
brosgu,56
psycfu,53
lozapi,49
cha1te,39
pipelo,39
ficuc2,36
pipeca,33
verbgi,29
pipeim,24
ficupe,19
clidoc,17
leandi,13
clidse,12
