x,y,name
459.1,56.9,pri2co
459.4,60.7,pri2co
451.0,61.0,drypst
445.7,70.1,jac1co
447.3,72.4,jac1co
442.3,74.7,cordbi
458.3,81.7,gustsu
448.5,104.9,virose
453.1,105.3,alchco
455.4,110.3,gustsu
444.2,138.2,huracr
450.4,133.9,tet2pa
457.7,138.1,tet2pa
450.6,123.8,protte
459.2,121.9,brosal
447.3,147.6,quaras
445.3,155.8,zantbe
456.0,155.6,tri2tu
454.8,164.7,tri2tu
445.5,162.4,tri2tu
441.0,173.6,swars1
455.0,175.2,quaras
459.0,175.2,alsebl
458.3,187.1,alsebl
454.6,186.5,tri2tu
441.0,184.3,tab2ar
446.3,197.0,lindla
449.8,205.2,cou2cu
442.3,210.3,ceibpe
448.6,219.4,sterap
454.6,217.1,hyeral
443.1,224.2,huracr
442.2,224.2,tet4jo
455.9,223.8,luehse
453.8,238.4,cassel
443.7,243.7,posola
439.3,248.8,ingago
454.4,253.8,termam
443.9,265.5,tri2tu
454.3,273.0,pterro
445.5,278.4,ficuin
443.5,290.1,loncla
452.5,284.1,tet4jo
456.4,288.6,luehse
451.9,299.2,tab1ro
446.9,303.6,anacex
445.5,304.1,lindla
440.5,312.8,quaras
445.5,309.0,casear
450.0,311.8,quaras
454.0,316.2,ceibpe
451.0,324.8,randar
453.4,328.0,virose
449.3,334.2,tri2tu
444.4,335.0,tet2pa
444.4,330.6,tab2ar
440.7,320.6,protte
444.0,345.0,sympgl
444.6,351.7,chr2ca
443.0,354.3,tri2tu
451.8,356.7,tab2ar
455.2,347.2,tri2tu
458.5,363.3,alsebl
453.9,366.1,cordbi
446.4,362.3,apeime
441.5,369.2,beilpe
448.6,373.5,cecrin
452.3,373.2,quaras
452.5,373.5,tet2pa
456.5,381.0,quaras
450.3,380.4,beilpe
445.4,381.8,poutre
446.2,388.1,tab2ar
445.6,389.7,dendar
448.1,393.5,alsebl
441.7,413.0,poutre
451.0,414.1,casear
444.7,421.6,hirttr
446.6,421.1,quaras
447.8,424.7,gar2ma
450.1,424.6,tri2tu
453.8,427.5,virose
447.7,434.8,simaam
449.0,436.3,gustsu
445.3,427.1,tet2pa
450.8,440.6,jac1co
447.7,442.5,simaam
447.4,449.6,cecrin
447.4,459.0,lindla
454.7,454.3,quaras
455.0,448.8,simaam
455.3,444.3,poutre
458.9,459.2,aspicr
454.4,459.4,brosal
459.3,462.1,hyeral
458.3,462.2,allops
446.4,466.7,phoeci
444.7,464.6,alsebl
448.6,473.6,cordla
445.2,479.3,alsebl
446.0,480.4,chr2ar
450.8,489.1,sapiau
459.6,490.2,sch1zo
457.2,491.9,termam
449.2,495.5,tropra
434.2,497.4,apeime
435.8,490.7,luehse
432.4,486.9,casear
433.8,482.1,guapst
432.6,477.5,gustsu
439.6,475.8,hirttr
430.1,472.9,quaras
425.6,466.2,gustsu
432.2,471.4,hirttr
422.3,452.4,tropra
433.5,428.8,aspicr
434.8,438.2,randar
425.5,435.7,apeime
425.5,425.4,tab2ar
436.2,424.6,hirttr
421.2,419.5,alsebl
428.7,418.3,tri2tu
437.4,413.7,cordbi
432.9,408.2,tri2tu
430.5,405.7,cecrin
423.7,400.5,quaras
427.9,396.0,cecrin
436.6,392.7,guatdu
434.0,387.8,cecrin
434.5,385.1,turpoc
426.8,377.5,ingago
426.5,376.5,pse1se
428.0,375.1,guapst
430.7,372.0,sch1zo
424.0,364.2,eugeco
425.7,354.2,tri2tu
428.5,354.2,simaam
424.4,351.9,tab2ar
438.7,347.7,pla1pi
439.4,355.5,guapst
432.2,340.5,tri2tu
425.9,323.1,alsebl
424.6,323.2,hirttr
421.9,325.6,alsebl
420.6,321.9,tri2tu
428.5,317.7,tri2tu
426.9,308.5,myrofr
424.1,309.1,tet2pa
425.1,305.4,alsebl
433.8,310.6,tri2tu
428.6,297.4,pse1se
427.1,295.7,heisco
421.8,288.8,tet2pa
424.0,279.6,gustsu
427.4,276.2,tri2tu
431.8,266.3,anacex
429.7,261.2,andiin
429.4,256.0,brosal
428.9,253.6,tri2tu
424.0,251.7,tri2tu
434.3,250.5,tri2tu
435.4,248.1,huracr
422.6,239.7,termam
426.4,236.4,huracr
419.8,225.3,tri2tu
422.2,210.6,luehse
432.2,212.3,ingago
430.2,190.1,chr2ca
421.2,193.5,poutre
429.9,181.2,quaras
438.6,179.7,ast2gr
432.8,171.8,brosal
426.1,167.3,tab2ar
420.6,167.8,jac1co
435.9,159.2,huracr
438.0,155.8,tri2tu
435.3,153.8,tri2tu
430.6,153.5,tri2tu
432.7,143.6,simaam
430.7,142.2,tri2tu
420.9,146.9,gustsu
426.0,138.0,tri2tu
424.5,133.8,tri2tu
436.3,134.6,tri2tu
437.5,131.3,pri2co
437.2,114.3,hyeral
435.3,112.5,drypst
431.2,110.4,ast2gr
428.9,105.1,heisco
420.5,110.5,pri2co
421.6,100.6,alsebl
418.6,88.6,guapst
426.9,66.8,aspicr
440.1,60.7,alsebl
428.0,59.4,ast2gr
434.1,57.1,alchco
436.7,49.3,alsebl
433.9,52.0,alsebl
433.9,41.7,tri2tu
429.1,41.9,tab2ar
436.0,41.3,quaras
432.6,36.8,alsebl
437.0,28.9,virosu
436.5,23.7,alsebl
422.1,25.7,drypst
420.7,15.6,poutre
435.5,4.4,quaras
427.4,0.1,anacex
424.3,0.1,guapst
417.1,6.5,sch1zo
410.7,5.7,virose
414.1,8.1,tet2pa
408.8,12.8,gustsu
411.3,17.5,luehse
406.8,26.1,virosu
410.6,28.8,tri2tu
400.6,30.2,ocotwh
402.6,26.8,pri2co
405.9,39.5,virose
408.8,40.6,quaras
408.5,47.9,pri2co
406.7,46.6,tab2ar
402.6,45.8,gustsu
403.8,57.0,brosal
408.5,62.6,tri2tu
411.0,66.0,tri2tu
408.7,67.2,pri2co
406.8,71.1,virose
409.7,76.5,virose
405.7,82.8,alsebl
401.5,92.1,eugeco
402.5,100.3,pri2co
