name,x,y
ACTINI,379.88,494.54
ACTINI,364.97,473.66
ACTINI,367.67,446.74
ACTINI,361.68,207.79
ACTINI,373.92,195.01
ACTINI,379.62,178.53
ACTINI,379.78,178.66
ACTINI,360.75,24.74
ACTINI,354.04,481.33
ACTINI,351.24,466.18
ACTINI,350.58,422.53
ACTINI,348.37,372.73
ACTINI,340.76,369.08
ACTINI,347.18,295.6
ACTINI,358.6,282.38
ACTINI,344.12,288.53
ACTINI,359.86,244.04
ACTINI,359.82,204.43
ACTINI,348.72,201.9
ACTINI,345.34,182.01
ACTINI,351.47,179.17
ACTINI,343.16,172.17
ACTINI,349.74,172.54
ACTINI,356.84,15.52
ACTINI,352.0,15.53
ACTINI,334.14,467.52
ACTINI,337.93,455.9
ACTINI,333.45,375.55
ACTINI,333.51,301.15
ACTINI,336.23,308.79
ACTINI,338.31,300.93
ACTINI,325.46,199.4
ACTINI,339.15,178.76
ACTINI,325.21,131.75
ACTINI,321.46,3.61
ACTINI,313.25,482.14
ACTINI,311.12,485.98
ACTINI,300.53,482.24
ACTINI,309.4,482.14
ACTINI,313.44,445.84
ACTINI,311.71,439.26
ACTINI,307.89,429.39
ACTINI,316.07,382.88
ACTINI,316.4,373.36
ACTINI,317.62,366.55
ACTINI,316.73,319.65
ACTINI,310.58,222.29
ACTINI,319.73,207.52
ACTINI,317.46,176.9
ACTINI,304.94,144.07
ACTINI,313.36,121.19
ACTINI,288.26,485.93
ACTINI,284.19,480.65
ACTINI,296.3,455.05
ACTINI,290.86,386.74
ACTINI,288.01,385.5
ACTINI,282.62,193.78
ACTINI,281.27,144.85
ACTINI,268.42,493.56
ACTINI,269.3,497.15
ACTINI,273.71,431.96
ACTINI,260.24,399.48
ACTINI,266.12,192.33
ACTINI,268.28,162.88
ACTINI,269.62,44.28
ACTINI,258.3,491.51
ACTINI,258.96,455.21
ACTINI,256.41,405.12
ACTINI,254.93,407.79
ACTINI,252.33,408.36
ACTINI,257.98,409.66
ACTINI,259.08,412.25
ACTINI,259.25,397.86
ACTINI,243.55,276.16
ACTINI,248.77,187.32
ACTINI,245.06,137.22
ACTINI,245.79,88.36
ACTINI,245.33,94.23
ACTINI,253.3,82.15
ACTINI,252.05,75.97
ACTINI,259.34,5.48
ACTINI,223.99,496.02
ACTINI,225.6,490.54
ACTINI,226.78,489.67
ACTINI,229.29,487.9
ACTINI,226.83,433.12
ACTINI,238.2,428.22
ACTINI,230.66,426.8
ACTINI,228.1,423.74
ACTINI,233.0,401.67
ACTINI,235.4,387.96
ACTINI,226.79,324.59
ACTINI,229.16,331.72
ACTINI,236.11,318.04
ACTINI,221.52,82.77
ACTINI,229.6,64.53
ACTINI,200.04,483.57
ACTINI,208.77,491.82
ACTINI,203.87,491.6
ACTINI,217.42,486.01
ACTINI,201.36,486.07
ACTINI,205.55,480.63
ACTINI,208.28,468.42
ACTINI,210.71,465.78
ACTINI,201.01,472.2
ACTINI,218.53,479.09
ACTINI,213.41,460.99
ACTINI,214.98,479.84
ACTINI,202.01,476.8
ACTINI,201.33,462.16
ACTINI,214.22,446.88
ACTINI,211.92,405.09
ACTINI,205.21,400.88
ACTINI,218.08,368.39
ACTINI,213.97,290.96
ACTINI,206.55,34.26
ACTINI,199.53,480.99
ACTINI,187.14,489.98
ACTINI,196.24,480.95
ACTINI,182.62,488.9
ACTINI,192.59,490.99
ACTINI,183.98,499.39
ACTINI,183.27,497.86
ACTINI,189.73,497.61
ACTINI,191.44,394.03
ACTINI,192.13,399.36
ACTINI,185.89,294.97
ACTINI,192.46,288.63
ACTINI,195.79,263.3
ACTINI,180.92,126.65
ACTINI,182.82,124.04
ACTINI,196.54,129.15
ACTINI,199.07,32.04
ACTINI,176.97,489.66
ACTINI,175.51,498.23
ACTINI,171.65,484.16
ACTINI,165.13,476.33
ACTINI,161.41,389.32
ACTINI,175.96,382.13
ACTINI,176.17,390.28
ACTINI,168.23,369.3
ACTINI,163.36,379.65
ACTINI,160.35,374.23
ACTINI,174.16,374.45
ACTINI,163.3,360.06
ACTINI,178.52,357.17
ACTINI,163.29,330.38
ACTINI,179.4,308.13
ACTINI,179.53,309.4
ACTINI,166.66,259.87
ACTINI,168.93,206.13
ACTINI,170.87,174.54
ACTINI,164.0,44.97
ACTINI,171.43,43.44
ACTINI,176.78,49.53
ACTINI,153.84,484.91
ACTINI,153.71,487.53
ACTINI,151.91,487.96
ACTINI,144.96,429.17
ACTINI,142.45,417.82
ACTINI,154.47,370.67
ACTINI,148.93,371.92
ACTINI,148.67,368.39
ACTINI,147.19,376.54
ACTINI,147.52,376.57
ACTINI,152.75,377.16
ACTINI,142.98,339.68
ACTINI,144.89,294.6
ACTINI,140.35,292.12
ACTINI,140.75,261.55
ACTINI,153.83,272.66
ACTINI,152.56,251.16
ACTINI,152.22,224.9
ACTINI,150.82,218.22
ACTINI,152.27,194.84
ACTINI,153.92,147.06
ACTINI,143.4,11.71
ACTINI,131.66,474.56
ACTINI,123.59,405.55
ACTINI,123.17,408.3
ACTINI,139.45,389.0
ACTINI,138.36,367.41
ACTINI,138.82,380.25
ACTINI,131.44,360.06
ACTINI,126.05,350.56
ACTINI,138.96,344.89
ACTINI,121.17,351.28
ACTINI,131.5,349.75
ACTINI,123.59,313.62
ACTINI,122.55,258.62
ACTINI,139.11,244.0
ACTINI,138.79,197.34
ACTINI,122.89,186.23
ACTINI,123.64,184.47
ACTINI,121.62,180.19
ACTINI,131.88,119.65
ACTINI,112.85,465.83
ACTINI,102.92,471.49
ACTINI,116.77,475.57
ACTINI,111.1,472.13
ACTINI,100.79,441.49
ACTINI,107.21,413.45
ACTINI,116.75,415.36
ACTINI,109.26,413.71
ACTINI,116.79,398.96
ACTINI,101.59,364.13
ACTINI,102.36,349.9
ACTINI,115.91,332.21
ACTINI,110.48,329.95
ACTINI,115.92,257.97
ACTINI,105.18,238.6
ACTINI,105.72,238.46
ACTINI,100.6,221.26
ACTINI,108.4,194.08
ACTINI,104.1,195.93
ACTINI,114.38,179.53
ACTINI,115.21,171.72
ACTINI,106.53,153.45
ACTINI,104.6,131.5
ACTINI,105.23,114.15
ACTINI,104.65,42.36
ACTINI,90.9,481.15
ACTINI,80.82,492.24
ACTINI,91.32,495.83
ACTINI,81.96,472.17
ACTINI,90.47,471.31
ACTINI,93.59,434.77
ACTINI,84.65,433.85
ACTINI,92.23,426.47
ACTINI,85.43,436.31
ACTINI,96.9,421.21
ACTINI,86.48,430.91
ACTINI,83.25,401.19
ACTINI,91.76,364.49
ACTINI,85.86,333.4
ACTINI,85.03,317.2
ACTINI,97.93,241.93
ACTINI,81.45,214.97
ACTINI,85.71,188.24
ACTINI,94.45,174.24
ACTINI,83.76,172.97
ACTINI,89.49,162.66
ACTINI,86.28,140.73
ACTINI,95.59,136.59
ACTINI,97.15,88.21
ACTINI,97.26,54.71
ACTINI,90.39,33.99
ACTINI,63.41,489.73
ACTINI,66.67,474.97
ACTINI,69.25,471.79
ACTINI,62.31,466.66
ACTINI,78.08,453.06
ACTINI,70.84,436.97
ACTINI,70.26,439.51
ACTINI,75.86,438.09
ACTINI,78.98,415.96
ACTINI,66.58,114.35
ACTINI,63.98,83.45
ACTINI,63.51,29.06
ACTINI,56.78,496.51
ACTINI,47.08,481.52
ACTINI,59.51,494.15
ACTINI,50.2,494.05
ACTINI,45.61,468.23
ACTINI,47.71,460.94
ACTINI,55.83,452.36
ACTINI,57.58,418.36
ACTINI,40.94,410.25
ACTINI,52.63,400.03
ACTINI,41.13,3.11
ACTINI,51.19,0.55
ACTINI,23.74,479.88
ACTINI,28.11,469.31
ACTINI,35.18,443.78
ACTINI,39.73,448.91
ACTINI,36.51,456.4
ACTINI,24.45,431.81
ACTINI,35.31,432.4
ACTINI,33.73,400.04
ACTINI,34.17,400.16
ACTINI,30.72,357.06
ACTINI,29.37,238.77
ACTINI,35.35,146.55
ACTINI,37.36,102.24
ACTINI,20.2,17.03
ACTINI,2.8,486.54
ACTINI,6.39,480.38
ACTINI,6.63,482.2
ACTINI,11.46,486.44
ACTINI,12.64,483.81
ACTINI,1.18,488.75
ACTINI,19.75,477.57
ACTINI,8.07,476.8
ACTINI,15.06,427.08
ACTINI,14.18,229.77
ACTINI,14.61,229.3
ACTINI,18.5,227.14
ACTINI,5.99,102.71
ACTINI,13.33,12.49
ACTINI,6.84,2.4
ADENPA,379.46,414.23
AGANHE,502.58,405.47
AGANHE,501.2,281.85
AGANHE,504.98,197.99
AGANHE,504.68,12.52
AGANHE,500.64,14.33
AGANHE,505.09,12.55
AGANHE,493.87,471.97
AGANHE,491.47,400.29
AGANHE,491.09,396.42
AGANHE,495.42,399.75
AGANHE,483.45,357.48
AGANHE,482.56,303.74
AGANHE,480.22,292.8
AGANHE,497.29,263.22
AGANHE,496.62,16.32
AGANHE,498.47,11.09
AGANHE,496.54,13.66
AGANHE,490.01,12.68
AGANHE,466.34,403.94
AGANHE,462.12,362.14
AGANHE,467.32,363.35
AGANHE,474.66,317.8
AGANHE,464.01,202.44
AGANHE,468.69,198.68
AGANHE,464.86,169.1
AGANHE,463.9,125.92
AGANHE,473.53,134.33
AGANHE,479.52,113.42
AGANHE,478.14,103.4
AGANHE,462.63,69.61
AGANHE,466.09,76.89
AGANHE,474.9,64.06
AGANHE,476.66,71.85
AGANHE,475.9,53.37
AGANHE,478.11,27.63
AGANHE,442.85,464.93
AGANHE,442.75,475.47
AGANHE,456.49,308.74
AGANHE,452.89,299.88
AGANHE,452.56,261.38
AGANHE,456.16,243.07
AGANHE,448.62,236.8
AGANHE,453.52,225.73
AGANHE,449.24,163.28
AGANHE,451.97,159.49
AGANHE,452.77,159.05
AGANHE,458.02,156.36
AGANHE,453.94,146.55
AGANHE,453.3,114.38
AGANHE,458.23,89.7
AGANHE,449.27,73.3
AGANHE,450.76,40.65
AGANHE,454.43,22.96
AGANHE,439.09,320.59
AGANHE,428.21,284.13
AGANHE,433.69,298.91
AGANHE,433.19,240.98
AGANHE,434.31,239.33
AGANHE,433.73,214.4
AGANHE,431.28,144.07
AGANHE,430.51,145.22
AGANHE,428.19,73.44
AGANHE,427.2,14.34
AGANHE,415.87,477.15
AGANHE,415.01,464.06
AGANHE,411.1,450.77
AGANHE,400.59,420.91
AGANHE,406.37,420.79
AGANHE,402.76,414.05
AGANHE,418.03,410.96
AGANHE,405.68,411.9
AGANHE,410.7,363.31
AGANHE,400.42,342.1
AGANHE,416.56,246.1
AGANHE,403.6,175.27
AGANHE,405.95,55.51
AGANHE,418.54,20.75
AGANHE,383.27,440.15
AGANHE,398.34,423.89
AGANHE,386.01,255.06
AGANHE,383.99,252.71
AGANHE,392.84,221.95
AGANHE,393.56,216.65
AGANHE,399.75,141.73
AGANHE,381.37,78.21
AGANHE,394.28,22.21
AGANHE,390.31,13.24
AGANHE,394.46,14.52
AGANHE,397.96,19.94
AGANHE,377.85,448.59
AGANHE,361.2,439.18
AGANHE,368.54,227.15
AGANHE,369.9,234.78
AGANHE,363.62,235.64
AGANHE,379.86,213.4
AGANHE,379.48,191.59
AGANHE,362.36,182.32
AGANHE,361.14,198.17
AGANHE,378.69,180.13
AGANHE,372.1,178.32
AGANHE,369.26,17.03
AGANHE,369.11,15.76
AGANHE,368.78,15.99
AGANHE,343.57,487.48
AGANHE,341.8,472.77
AGANHE,357.42,460.48
AGANHE,343.79,448.29
AGANHE,340.34,402.37
AGANHE,341.59,412.71
AGANHE,341.63,401.93
AGANHE,348.51,367.89
AGANHE,340.65,355.06
AGANHE,346.54,328.43
AGANHE,350.93,273.75
AGANHE,358.19,265.03
AGANHE,353.57,267.06
AGANHE,346.96,199.53
AGANHE,342.41,152.1
AGANHE,353.28,123.95
AGANHE,351.34,130.1
AGANHE,340.51,90.56
AGANHE,351.18,61.88
AGANHE,326.07,457.31
AGANHE,324.53,208.1
AGANHE,312.82,488.45
AGANHE,293.44,305.12
AGANHE,286.92,305.61
AGANHE,283.5,202.76
AGANHE,285.68,216.36
AGANHE,288.78,200.04
AGANHE,297.42,38.88
AGANHE,263.56,472.7
AGANHE,243.35,87.8
AGANHE,244.58,86.0
AGANHE,245.69,74.65
AGANHE,220.13,354.04
AGANHE,226.16,326.43
AGANHE,225.89,326.81
AGANHE,221.71,337.49
AGANHE,238.99,273.54
AGANHE,233.7,271.16
AGANHE,219.79,421.93
AGANHE,206.95,330.04
AGANHE,208.34,257.07
AGANHE,184.99,287.92
AGANHE,191.16,298.84
AGANHE,187.19,173.77
AGANHE,196.99,133.6
AGANHE,164.6,122.26
AGANHE,144.55,309.01
AGANHE,144.21,117.82
AGANHE,146.51,52.4
AGANHE,158.3,16.44
AGANHE,121.27,238.1
AGANHE,121.18,201.86
AGANHE,127.24,206.52
AGANHE,135.71,207.15
AGANHE,120.98,200.65
AGANHE,125.33,206.75
AGANHE,108.44,494.98
AGANHE,110.96,407.12
AGANHE,106.53,410.05
AGANHE,116.89,185.57
AGANHE,84.01,493.49
AGANHE,80.33,423.86
AGANHE,85.78,413.96
AGANHE,81.4,376.48
AGANHE,91.54,130.8
AGANHE,61.85,425.12
AGANHE,68.01,415.85
AGANHE,75.57,417.2
AGANHE,69.8,246.28
AGANHE,71.89,225.82
AGANHE,77.54,72.46
AGANHE,58.37,460.33
AGANHE,45.44,437.91
AGANHE,56.13,421.17
AGANHE,53.45,396.06
AGANHE,52.31,329.74
AGANHE,41.67,307.89
AGANHE,46.93,23.01
AGANHE,33.73,484.54
AGANHE,22.48,499.89
AGANHE,29.12,497.08
AGANHE,27.13,496.99
AGANHE,34.13,336.97
AGANHE,30.52,313.28
AGANHE,28.03,253.73
AGANHE,38.82,161.75
AGANHE,3.13,357.12
AGANHE,19.0,205.89
AGLABR,510.13,425.89
AGLABR,507.68,433.45
AGLABR,507.49,356.52
AGLABR,501.2,354.83
AGLABR,508.01,325.89
AGLABR,500.4,337.56
AGLABR,511.79,301.78
AGLABR,506.11,301.89
AGLABR,503.65,300.06
AGLABR,507.7,277.15
AGLABR,503.69,279.81
AGLABR,500.3,231.58
AGLABR,502.28,230.64
AGLABR,509.51,224.06
AGLABR,503.21,210.61
AGLABR,507.82,203.64
AGLABR,511.35,203.48
AGLABR,501.53,198.49
AGLABR,508.72,195.87
AGLABR,509.25,196.64
AGLABR,501.4,179.39
AGLABR,505.71,121.98
AGLABR,503.82,130.18
AGLABR,505.53,134.71
AGLABR,505.5,130.89
