species,count
Clerodendrum porphyrocalyx,175
Dysoxylum brassii,171
Ficus melinocarpa,168
Ficus copiosa,168
Micromelum minutum,167
Cupaniopsis curvidens,166
Ficus pseudojaca,163
Ficus polyantha,163
Litsea globosa,162
Ficus primaria,161
Ficus subcuneata,160
Pavetta platyclada,157
Cryptocarya endiandrifolia,155
Astronidium acutifolium,153
Dysoxylum acutangulum,148
Litsea guppyi,146
Dysoxylum mollissimum,143
Syndyophyllum excelsum,142
Millettia pinnata,141
Archidendron ptenopum,141
Trophis philippinensis,139
Saurauia poolei,138
Dysoxylum alatum,138
Goniothalamus aruensis,136
Callicarpa pedunculata,135
Sterculia tantraensis,135
Aglaia sapindina,134
Garuga floribunda,134
Myristica schleinitzii,133
Aglaia cucullata,131
Myristica hollrungii,131
Terminalia microcarpa,131
Ryticaryum novoguineense,131
Chionanthus trichotomus,130
Artocarpus camansi,129
Casearia clutiifolia,128
Clerodendrum tracyanum,124
Rhodamnia sessiliflora,119
Syzygium amplum,118
Tarenna buruensis,118
Polyscias spectabilis,113
Breynia cernua,109
Callicarpa pentandra,107
Aglaia conferta,106
Toona sureni,106
Horsfieldia subtilis,105
Maranthes corymbosa,103
Helicia latifolia,102
Calycacanthus magnusianus,99
Gonocaryum litorale,99
Neonauclea maluensis,96
Gigasiphon schlechteri,94
Syzygium fastigiatum,93
Dysoxylum annae,92
Morinda citrifolia,91
Atractocarpus decorus,91
Spondias dulcis,87
Wenzelia dolichophylla,86
Atuna racemosa,85
Cryptocarya depressa,84
Psychotria micrococca,84
Elaeocarpus angustifolius,83
Teijsmanniodendron ahernianum,83
Streblus ascendens,82
Drypetes longifolia,76
Mallotus trinervius,75
Canarium schlechteri,73
Ficus semivestita,72
Aglaia brassii,69
Meliosma pinnata,69
Bambusa hirsuta,67
Aphananthe philippinensis,67
Polyspora papuana,67
Cananga odorata,66
Dysoxylum gaudichaudianum,64
Syzygium pteropodum,64
Artocarpus communis,64
Alangium javanicum,64
Endospermum medullosum,64
Chisocheton montanus,63
Tetrameles nudiflora,62
Lepidopetalum xylocarpum,62
Psydrax cymigera,61
Donella lanceolata,60
Ficus pachyrrhachis,59
Vitex quinata,57
Cryptocarya laevigata,57
Saurauia purgans,57
Garcinia ledermannii,55
Syzygium acuminatissimum,55
Parkia versteeghii,54
Timonius timon,53
Homalanthus novoguineensis,52
Flacourtia rukam,52
Endiandra brassii,51
Dichapetalum papuanum,50
Macaranga novoguineensis,48
Archidendron glabrum,48
Salacia macrophylla,46
Lagerstroemia engleriana,45
Steganthera hospitans,45
Ficus hispidioides,44
Sloanea forbesii,44
Xylopia papuana,44
Hibiscus tiliaceus,43
Orania lauterbachiana,43
Syzygium thornei,42
Caryota rumphiana,41
Chisocheton pohlianus,39
Kleinhovia hospita,39
Arytera littoralis,37
Callicarpa tomentosa,36
Aglaia caroli,35
Terminalia macrocarpa,35
Albizia procera,35
Commersonia bartramia,35
Horsfieldia spicata,35
Zanthoxylum pluviatile,35
Harpullia aeruginosa,35
Myristica insipida,35
Haplolobus furfuraceus,34
Syzygium hylochare,33
Artocarpus altilis,33
Planchonia papuana,33
Cryptocarya ledermannii,32
Ficus phaeosyce,32
Garcinia latissima,32
Ficus virens,31
Dysoxylum latifolium,30
Ryticaryum longifolium,30
Lepidopetalum micans,29
Canarium polyphyllum,29
Semecarpus magnificus,29
Benstonea adinobotrys,29
Terminalia sepicana,28
Planchonella keyensis,28
Terminalia archipelagi,27
Jagera javanica,26
Lepiniopsis ternatensis,25
Flacourtia zippelii,24
Ficus glandifera,24
Sarcocephalus coadunatus,24
Helicia affinis,23
Citronella suaveolens,23
Solanum oliverianum,23
Aglaia subcuprea,23
Octomeles sumatrana,23
Chisocheton pachyrhachis,23
Gomphandra montana,23
Phaleria macrocarpa,22
Neolamarckia cadamba,22
Euroschinus papuanus,21
Myristica buchneriana,21
Mussaenda cylindrocarpa,20
Ficus virgata,20
Hydriastele costata,20
Mallotus philippensis,20
Psychotria beccarii,19
Lagerstroemia celebica,19
Hibiscus ellipticifolius,19
Ceodes umbellifera,19
Ficus ampelas,19
Leucosyke capitellata,18
Duabanga moluccana,18
Tabernaemontana aurantiaca,18
Ficus edelfeltii,17
Pouteria torricellensis,17
Canarium asperum,17
Elaeocarpus schlechteri,17
Bombax ceiba,16
Trema orientalis,16
Popowia pisocarpa,16
Callicarpa longifolia,16
Barringtonia racemosa,16
Citrus polyandra,15
Aceratium ledermannii,15
Diospyros lolin,15
Lophopetalum torricellense,15
Barringtonia calyptrocalyx,15
Cleidion javanicum,14
Croton womersleyi,14
Cryptocarya apamifolia,14
Mangifera minor,14
Vatica rassak,14
Horsfieldia sinclairii,13
Phyllanthus clamboides,13
Oreocnide rubescens,13
Callicarpa arborea,13
Mangifera indica,13
Ficus archboldiana,13
Garcinia maluensis,12
Litsea trichophylla,12
Gnetum costatum,12
Alphitonia incana,12
Aglaia euryanthera,11
Buchanania macrocarpa,11
Toechima livescens,11
Chisocheton schumannii,11
Diospyros hebecarpa,10
Phaleria perrottetiana,10
Friesodielsia glauca,10
Harpullia petiolaris,10
Parartocarpus venenosa,10
Uvaria musaria,10
Ficus drupacea,9
Premna serratifolia,9
Voacanga grandifolia,9
Debregeasia longifolia,9
Inocarpus fagifer,9
Chionanthus sessiliflorus,9
Semecarpus forstenii,9
Morinda umbellata,8
Uncaria appendiculata,8
Commelina paleata,8
Claoxylon nervosum,8
Glochidion novo-guineense,7
Rinorea bengalensis,7
Dysoxylum cauliflorum,7
Melochia umbellata,6
Diospyros ferrea,6
Dendrocnide cordata,6
Canarium hirsutum,6
Adenanthera novo-guineensis,6
Melanolepis multiglandulosa,6
