species,count
Elaeocarpus dolichostylus,2
Macrococculus pomiferus,2
Melanolepis multiglandulosa,2
Intsia palembanica,2
Canarium vitiense,2
Cynometra fortuna-tironis,2
Astronidium montanum,2
Mallotus resinosus,2
Morinda umbellata,2
Chisocheton schumannii,2
Mallotus floribundus,2
Ficus odoardi,2
Heritiera littoralis,2
Horsfieldia macrocoma,2
Microglossa pyrifolia,1
Diplazium esculentum,1
Myristica markgraviana,1
Opocunonia nymanii,1
Cordia dichotoma,1
Myristica lancifolia,1
Papuechites aambe,1
Calopogonium mucunoides,1
Saurauia conferta,1
Phrynium macrocephalum,1
Tecomanthe dendrophila,1
Syzygium richardsonianum,1
Timonius pulposus,1
Macaranga clavata,1
Macaranga ducis,1
Maesa edulis,1
Medinilla crassinervia,1
Sterculia conwentzii,1
Decalobanthus peltatus,1
Cyrtandra erectiloba,1
Diospyros areolifolia,1
Alocasia brancifolia,1
Diospyros ferrea,1
Aglaia integrifolia,1
Canarium hirsutum,1
Trichadenia philippinensis,1
Eupomatia laurina,1
Gliricidia sepium,1
Psychotria chrysantha,1
Rottboellia exaltata,1
Artocarpus fretissi,1
Bischofia javanica,1
Adenanthera pavonina,1
Ziziphus djamuensis,1
